#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
           1     1.91549     1.91549           0
           2     1.94109     1.92829  0.00904994
           3     1.99843     1.95167   0.0200199
           4     1.94684     1.95046   0.0150514
           5     1.97096     1.95456   0.0125867
           6     1.94631     1.95319   0.0105639
           7     2.00074     1.95998    0.011025
           8     1.96754     1.96092  0.00968723
           9     1.98401     1.96349  0.00894399
          10     1.99063      1.9662  0.00845131
          11     2.02093     1.97118   0.0090293
          12     1.99989     1.97357  0.00858794
          13      1.9712     1.97339  0.00792926
          14     2.03953     1.97811  0.00865674
          15     2.01882     1.98083  0.00849435
          16     2.02256     1.98343   0.0083543
          17      1.9752     1.98295   0.0078769
          18     1.93707      1.9804  0.00784083
          19     1.95759      1.9792  0.00751949
          20     1.97836     1.97916  0.00714364
          21     1.94686     1.97762   0.0069671
          22     2.00133      1.9787  0.00673325
          23      1.9715     1.97839  0.00644778
          24      2.0742     1.98238  0.00731145
          25     2.05213     1.98517  0.00753256
          26     2.04787     1.98758  0.00761916
          27     2.01672     1.98866  0.00741304
          28     2.04317     1.99061  0.00739954
          29     2.01399     1.99141   0.0071882
          30     2.02031     1.99238  0.00701284
