#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1   -0.318454   -0.318454           0
           2   -0.344104   -0.331279  0.00906847
           3   -0.401473   -0.354677   0.0200381
           4   -0.349889    -0.35348   0.0150643
           5   -0.374069   -0.357598   0.0126016
           6   -0.349359   -0.356225   0.0105759
           7   -0.403839   -0.363027   0.0110379
           8   -0.370584   -0.363971  0.00969846
           9   -0.387056   -0.366536   0.0089536
          10   -0.393648   -0.369248  0.00845877
          11   -0.424036   -0.374228    0.009038
          12   -0.402896   -0.376617  0.00859478
          13    -0.37418    -0.37643  0.00793569
          14   -0.442543   -0.381152  0.00866071
          15   -0.421899   -0.383869  0.00849868
          16   -0.425531   -0.386473   0.0083569
          17   -0.378269    -0.38599  0.00787924
          18   -0.340037   -0.383437  0.00784419
          19   -0.360701    -0.38224  0.00752206
          20   -0.381401   -0.382198  0.00714607
          21   -0.350014   -0.380666  0.00696819
          22   -0.404497   -0.381749  0.00673513
          23   -0.374445   -0.381432  0.00644978
          24   -0.477411   -0.385431  0.00731656
          25   -0.455219   -0.388222  0.00753764
          26   -0.450831    -0.39063  0.00762268
          27   -0.419719   -0.391708   0.0074161
          28   -0.446247   -0.393655  0.00740262
          29   -0.416973    -0.39446  0.00719089
          30   -0.423302   -0.395421  0.00701517
