#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
           1       1.277       1.277           0
           2     1.29406     1.28553   0.0060333
           3     1.33229     1.30111   0.0133466
           4     1.29789     1.30031   0.0100342
           5     1.31397     1.30304  0.00839116
           6     1.29754     1.30212  0.00704258
           7     1.33383     1.30665  0.00734999
           8     1.31169     1.30728  0.00645816
           9     1.32267     1.30899  0.00596266
          10     1.32709      1.3108   0.0056342
          11     1.34728     1.31412  0.00601953
          12     1.33326     1.31571   0.0057253
          13     1.31414     1.31559  0.00528617
          14     1.35969     1.31874  0.00577116
          15     1.34588     1.32055   0.0056629
          16     1.34837     1.32229  0.00556953
          17      1.3168     1.32197  0.00525126
          18     1.29138     1.32027  0.00522722
          19     1.30506     1.31947  0.00501299
          20      1.3189     1.31944  0.00476242
          21      1.2979     1.31841  0.00464473
          22     1.33422     1.31913  0.00448884
          23     1.31433     1.31892  0.00429852
          24      1.3828     1.32159   0.0048743
          25     1.36809     1.32345  0.00502171
          26     1.36525     1.32505  0.00507944
          27     1.34448     1.32577  0.00494202
          28     1.36212     1.32707  0.00493303
          29     1.34266     1.32761  0.00479213
          30     1.34687     1.32825  0.00467523
