#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1     1.59704     1.59704           0
           2     1.59699     1.59701 1.85271e-05
           3     1.59696     1.59699 1.95485e-05
           4     1.59695     1.59698 1.75575e-05
           5     1.59689     1.59696 2.21895e-05
           6     1.59695     1.59696  1.8652e-05
           7      1.5969     1.59695  1.7747e-05
           8     1.59695     1.59695 1.55287e-05
           9     1.59695     1.59695 1.38033e-05
          10     1.59698     1.59696 1.26817e-05
          11     1.59689     1.59695 1.28037e-05
          12     1.59699     1.59695 1.21634e-05
          13     1.59702     1.59696 1.23947e-05
          14     1.59699     1.59696 1.16987e-05
          15     1.59692     1.59696 1.12213e-05
          16     1.59703     1.59696 1.13188e-05
          17     1.59693     1.59696 1.08022e-05
          18     1.59703     1.59696 1.09502e-05
          19     1.59689     1.59696 1.10153e-05
          20     1.59696     1.59696  1.0468e-05
          21     1.59684     1.59695 1.13649e-05
          22     1.59683     1.59695 1.21085e-05
          23     1.59705     1.59695 1.23733e-05
          24     1.59679     1.59695 1.35409e-05
          25     1.59691     1.59695 1.30738e-05
          26     1.59704     1.59695 1.30835e-05
          27       1.597     1.59695 1.27586e-05
          28     1.59693     1.59695  1.2332e-05
          29     1.59702     1.59695 1.21381e-05
          30     1.59701     1.59695 1.18785e-05
