#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1   -0.999976   -0.999976           0
           2    -0.99998   -0.999978  1.4142e-06
           3   -0.999904   -0.999953 2.01623e-05
           4          -1   -0.999965 1.81865e-05
           5   -0.999992    -0.99997   1.533e-05
           6   -0.999992   -0.999974 1.31909e-05
           7          -1   -0.999978 1.18179e-05
           8   -0.999988   -0.999979 1.04103e-05
           9    -0.99996   -0.999977 9.46527e-06
          10          -1   -0.999979 8.79636e-06
          11          -1   -0.999981 8.19741e-06
          12          -1   -0.999983 7.66425e-06
          13          -1   -0.999984 7.18974e-06
          14          -1   -0.999985 6.76641e-06
          15   -0.999956   -0.999983 6.58834e-06
          16   -0.999984   -0.999983 6.17676e-06
          17   -0.999688   -0.999966 1.78238e-05
          18          -1   -0.999968 1.69341e-05
          19   -0.999616   -0.999949 2.41272e-05
          20          -1   -0.999952 2.30538e-05
