#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1   -0.999984   -0.999984           0
           2   -0.275286   -0.637635    0.256219
           3     0.99999    -0.09176    0.477315
           4    0.999998    0.181179    0.428983
           5           1    0.344944    0.373138
           6    0.999884      0.4541    0.326524
           7    0.999994    0.532085    0.289041
           8     0.99921    0.590476    0.258741
           9    0.999998    0.635978    0.233959
          10           1     0.67238    0.213376
          11    0.999136    0.702085    0.196035
          12    0.999998    0.726911    0.181264
          13     0.99835    0.747791    0.168519
          14    0.999892    0.765799    0.157441
          15    0.999956    0.781409    0.147717
          16    0.999994    0.795071    0.139115
          17    0.999998    0.807125    0.131453
          18           1     0.81784    0.124586
          19           1    0.827428    0.118397
          20           1    0.836056    0.112791
