#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     166.662     166.662           0
           2     164.307     165.484    0.832515
           3     166.663     165.877     0.64113
           4     166.666     166.074    0.510271
           5     166.667     166.193     0.42174
           6     166.632     166.266    0.357738
           7     166.665     166.323    0.311134
           8     166.438     166.337    0.272574
           9     166.666     166.374    0.244722
          10     166.667     166.403    0.221994
          11     166.421     166.405    0.201819
          12     166.666     166.427    0.186171
          13       166.2     166.409    0.172662
          14     166.633     166.425    0.161066
          15     166.653      166.44    0.151044
          16     166.665     166.454    0.142253
          17     166.666     166.467    0.134429
          18     166.667     166.478    0.127419
          19     166.667     166.488    0.121099
          20     166.667     166.497    0.115374
