#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1    -0.99998    -0.99998           0
           2   -0.998664   -0.999322 0.000465276
           3   -0.999984   -0.999543 0.000358715
           4   -0.999996   -0.999656 0.000286381
           5          -1   -0.999725 0.000237225
           6    -0.99994   -0.999761 0.000200381
           7   -0.999992   -0.999794 0.000174459
           8   -0.999696   -0.999782 0.000153078
           9   -0.999996   -0.999805 0.000137912
          10          -1   -0.999825 0.000125488
          11    -0.99972   -0.999815 0.000114441
          12   -0.999996    -0.99983  0.00010589
          13    -0.99948   -0.999803 0.000101116
          14   -0.999908   -0.999811 9.41691e-05
          15   -0.999968   -0.999821  8.8472e-05
          16   -0.999992   -0.999832  8.3583e-05
          17   -0.999996   -0.999842 7.92212e-05
          18          -1    -0.99985 7.53069e-05
          19          -1   -0.999858 7.17535e-05
          20          -1   -0.999865 6.85147e-05
