#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.421857    0.421857           0
           2    0.418932    0.420394  0.00103394
           3    0.421309    0.420699 0.000732842
           4    0.411788    0.418471  0.00200608
           5    0.411312     0.41704  0.00205323
           6     0.42657    0.418628  0.00224276
           7    0.410017    0.417398  0.00223441
           8    0.418943    0.417591  0.00196344
           9    0.422346    0.418119  0.00181499
          10    0.416166    0.417924  0.00164398
          11    0.408314     0.41705  0.00171096
          12     0.41475    0.416859  0.00157908
          13    0.411703    0.416462   0.0015066
          14    0.418846    0.416632  0.00140857
          15    0.416208    0.416604  0.00131495
          16    0.403424     0.41578  0.00146827
          17    0.424094    0.416269  0.00146108
          18    0.423522    0.416672   0.0014344
          19    0.414097    0.416537  0.00136529
          20    0.406368    0.416028  0.00138848
