#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.409983    0.409983           0
           2    0.386504    0.399134    0.141115
           3    0.377676    0.392575    0.106845
           4     0.33673    0.381242   0.0825413
           5    0.384681    0.382229   0.0683751
           6     0.35862    0.379059   0.0576719
           7    0.368381     0.37878   0.0500975
           8    0.287958    0.369993    0.043262
           9    0.346031    0.367459   0.0384938
          10    0.302289    0.361994   0.0343417
          11    0.343098    0.360305   0.0312307
          12    0.339862    0.358624   0.0286131
          13    0.339354    0.357308   0.0264069
          14    0.329286    0.355328   0.0244574
          15    0.334656    0.354206    0.022813
          16    0.332174    0.352902    0.021356
          17     0.30015    0.350201    0.019985
          18    0.371598    0.351435   0.0189741
          19    0.362232    0.352044   0.0180345
          20    0.306963    0.349983   0.0170561
