#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     25.2107     25.2107           0
           2     25.1396     25.1751     8.90076
           3     24.9738      25.108     6.83354
           4     24.4014     24.9314      5.3978
           5     21.8843      24.322     4.35084
           6     26.0869     24.6161     3.74522
           7     21.1357     24.1189     3.18997
           8     22.8341     23.9583     2.80137
           9     26.2631     24.2144     2.53662
          10     25.1831     24.3113     2.30637
          11     25.6591     24.4338     2.11788
          12     22.4725     24.2704     1.93642
          13     25.7029     24.3805     1.80185
          14     21.8343     24.1987      1.6656
          15     23.7101     24.1661     1.55644
          16      22.617     24.0693     1.45656
          17     29.4158     24.3838     1.39151
          18     20.9626     24.1937     1.30623
          19     24.0163     24.1844     1.23891
          20     24.4542     24.1979     1.17926
