#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1    0.025226    0.025226           0
           2    0.024252    0.024739 0.000344361
           3    0.015158   0.0215453   0.0026177
           4   -0.006868    0.014442  0.00645736
           5   -0.007552   0.0100432  0.00649353
           6   -0.008104  0.00701867  0.00607495
           7   -0.002452  0.00566571  0.00535564
           8    0.019356    0.007377  0.00495205
           9      0.0052  0.00713511  0.00440773
          10   -0.005742   0.0058474  0.00415079
          11   -0.006944  0.00468455  0.00393297
          12    0.007506  0.00491967  0.00361224
          13     0.00923  0.00525123  0.00334956
          14    0.015924  0.00601357  0.00319588
          15   -0.008056   0.0050756  0.00311743
          16    0.011114    0.005453  0.00294534
          17   -0.006978  0.00472176  0.00286142
          18    -0.02128  0.00327722  0.00304533
          19   -0.013076  0.00241653  0.00300422
          20    0.002166    0.002404  0.00285403
