#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1   -0.684564   -0.684564           0
           2   -0.681988   -0.683276 0.000910754
           3   -0.682844   -0.683132 0.000618448
           4    -0.68572   -0.683779 0.000727393
           5   -0.683248   -0.683673 0.000589616
           6   -0.682544   -0.683485 0.000520497
           7   -0.684248   -0.683594 0.000457421
           8   -0.680864   -0.683253 0.000511926
           9   -0.682228   -0.683139  0.00046753
          10      -0.681   -0.682925 0.000467139
          11   -0.682708   -0.682905 0.000425087
          12   -0.683372   -0.682944  0.00039144
          13   -0.683816   -0.683011 0.000367031
          14   -0.681588   -0.682909 0.000354611
          15   -0.681144   -0.682792 0.000349957
          16   -0.683824   -0.682856 0.000333979
          17   -0.682768   -0.682851 0.000314373
          18   -0.684212   -0.682927 0.000305865
          19   -0.684556   -0.683012 0.000301549
          20   -0.680784   -0.682901 0.000306365
