#   N_BLOCK:  ACCEPTANCE:
           1    0.151119
           2    0.152051
           3    0.152023
           4    0.151117
           5    0.150671
           6     0.15022
           7    0.150269
           8    0.150579
           9    0.150884
          10    0.150943
          11    0.150847
          12    0.150944
          13    0.150902
          14    0.151133
          15    0.151202
          16    0.151059
          17      0.1511
          18    0.150938
          19    0.150917
          20    0.150891
