#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1    -0.76162    -0.76162           0
           2    -0.76106    -0.76134  0.00019799
           3   -0.761964   -0.761548 0.000215093
           4    -0.76362   -0.762066 0.000476725
           5   -0.764588    -0.76257 0.000590751
           6   -0.763224   -0.762679 0.000502235
           7     -0.7615   -0.762511 0.000457874
           8    -0.75888   -0.762057 0.000583738
           9   -0.759968   -0.761825 0.000563138
          10    -0.76288    -0.76193 0.000516614
          11   -0.761304   -0.761873 0.000472777
          12   -0.762676    -0.76194 0.000438084
          13   -0.762856   -0.762011 0.000410008
          14   -0.760552   -0.761907  0.00039374
          15   -0.765072   -0.762118 0.000420254
          16   -0.764192   -0.762247 0.000413504
          17    -0.76056   -0.762148 0.000400914
          18    -0.76094   -0.762081 0.000384217
          19   -0.763008    -0.76213  0.00036708
          20   -0.761656   -0.762106  0.00034949
