#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.371512    0.371512           0
           2    0.371618    0.371565 3.73354e-05
           3    0.370567    0.371232 0.000272798
           4    0.357673    0.367842   0.0029428
           5     0.36399    0.367072  0.00245301
           6    0.359209    0.365761  0.00236847
           7    0.366126    0.365814  0.00203069
           8    0.364602    0.365662  0.00178249
           9    0.373343    0.366516  0.00177702
          10    0.366761     0.36654  0.00159949
          11    0.375484    0.367353  0.00164783
          12    0.365354    0.367187  0.00151891
          13     0.37614    0.367875  0.00155036
          14    0.356563    0.367067  0.00163668
          15    0.376014    0.367664  0.00163264
          16    0.374307    0.368079  0.00158252
          17    0.363789    0.367827  0.00150941
          18    0.367175     0.36779  0.00142599
          19    0.374332    0.368135  0.00139189
          20    0.371288    0.368292  0.00133119
