#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1   -0.018382   -0.018382           0
           2    -0.00544   -0.011911  0.00457569
           3    0.016394   -0.002476  0.00828562
           4   -0.010272   -0.004425  0.00643936
           5    0.014762  -0.0005876  0.00619018
           6    -0.01683 -0.00329467  0.00571986
           7    -0.00268 -0.00320686  0.00490341
           8    -0.00088   -0.002916   0.0042991
           9    0.006462   -0.001874  0.00394568
          10    0.008014  -0.0008852  0.00367292
          11   -0.002498 -0.00103182  0.00334195
          12    0.009928  -0.0001185  0.00318581
          13    0.000954    -3.6e-05  0.00294181
          14   -0.001272-0.000124286  0.00273301
          15   -0.004362  -0.0004068  0.00256537
          16   -0.002096-0.000512375   0.0024072
          17   -0.000512-0.000512353   0.0022656
          18    0.000368-0.000463444  0.00214026
          19     0.00036-0.000420105  0.00202806
          20    0.002952  -0.0002515  0.00193365
