#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     2.95461     2.95461           0
           2     2.94673     2.95067  0.00278701
           3     2.92601     2.94245  0.00696216
           4     2.97691     2.95106  0.00910637
           5     2.82009     2.92487   0.0245361
           6     3.01035     2.93912   0.0242326
           7     2.92749     2.93745   0.0208277
           8     2.98685     2.94363   0.0191174
           9     2.86001     2.93434   0.0191181
          10     2.92753     2.93366   0.0172184
          11      2.9326     2.93356   0.0156534
          12     2.93833     2.93396    0.014354
          13      2.9853     2.93791   0.0137824
          14     2.89875     2.93511   0.0130786
          15     2.80537     2.92646   0.0147927
          16     2.90788      2.9253   0.0139137
          17     2.91926     2.92494   0.0130998
          18     3.01149     2.92975   0.0132249
          19     2.94929     2.93078   0.0125687
          20     2.83635     2.92606   0.0127965
