#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.435203    0.435203           0
           2    0.444885    0.440044    0.155579
           3    0.418721    0.433473    0.117977
           4    0.427188    0.432496   0.0936381
           5    0.428901    0.432072   0.0772913
           6    0.433945    0.432543   0.0658093
           7    0.434565    0.432907   0.0572563
           8    0.407016    0.429691   0.0502424
           9    0.442906    0.431279   0.0451793
          10    0.453145    0.433761   0.0411501
          11    0.419321    0.432496    0.037488
          12    0.421893    0.431764   0.0344485
          13    0.415425    0.430667   0.0318286
          14    0.417987    0.429859   0.0295873
          15    0.437718    0.430383   0.0277193
          16    0.406694    0.428905   0.0259554
          17    0.448439    0.430173   0.0245488
          18    0.437467    0.430609   0.0232487
          19    0.460626    0.432442   0.0221531
          20    0.444191     0.43303   0.0211033
