#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     23.8025     23.8025           0
           2     24.9291     24.3658     8.61461
           3      22.467     23.7329     6.45927
           4     22.1671     23.3414     5.05357
           5     25.1038     23.6939     4.23849
           6     25.3842     23.9756     3.64777
           7     23.8655     23.9599     3.16894
           8     23.4807        23.9     2.79455
           9     26.1584     24.1509     2.52997
          10     27.1393     24.4498     2.31951
          11     24.1697     24.4243     2.11706
          12     25.9421     24.5508      1.9588
          13      21.885     24.3457     1.79928
          14     22.5603     24.2182     1.66695
          15     25.2722     24.2885     1.56433
          16     23.7269     24.2534      1.4677
          17     23.9492     24.2355     1.38305
          18     25.2737     24.2931     1.31159
          19     27.3841     24.4558     1.25282
          20     25.6017     24.5131     1.19462
