#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1    0.003958    0.003958           0
           2   -0.007456   -0.001749  0.00403546
           3   -0.010438 -0.00464533  0.00358193
           4   -0.008366  -0.0055755  0.00280462
           5   -0.006382  -0.0057368  0.00224833
           6   -0.012132 -0.00680267   0.0021112
           7    0.006778 -0.00486257  0.00254969
           8    0.003126   -0.003864  0.00241863
           9   -0.005322   -0.004026  0.00215531
          10    -0.00865  -0.0044884  0.00198876
          11   -0.003062 -0.00435873  0.00181219
          12   -0.021566 -0.00579267  0.00215507
          13     0.01556 -0.00415015  0.00253922
          14    0.013128   -0.002916  0.00264079
          15   -0.003632 -0.00296373  0.00246517
          16    0.005914 -0.00240888  0.00237272
          17    0.004308 -0.00201376   0.0022658
          18   -0.014616 -0.00271389  0.00224549
          19    0.006488 -0.00222958  0.00217891
          20    0.000942   -0.002071  0.00207573
