#   N_BLOCK:  ACCEPTANCE:
           1    0.495151
           2     0.49592
           3    0.495771
           4     0.49538
           5    0.495454
           6    0.495771
           7    0.495696
           8    0.495762
           9    0.495809
          10    0.495791
          11    0.495779
          12    0.495616
          13    0.495652
          14    0.495716
          15    0.495746
          16    0.495638
          17    0.495722
          18    0.495664
          19    0.495547
          20    0.495559
