#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1   -0.462624   -0.462624           0
           2   -0.459868   -0.461246 0.000974393
           3   -0.461468    -0.46132 0.000652399
           4   -0.462204   -0.461541   0.0005254
           5     -0.4633   -0.461893 0.000525052
           6    -0.46178   -0.461874 0.000437879
           7   -0.463868   -0.462159 0.000458716
           8   -0.464092   -0.462401 0.000460647
           9   -0.462688   -0.462432  0.00041057
          10   -0.460528   -0.462242 0.000411318
          11   -0.463016   -0.462312 0.000379896
          12   -0.462424   -0.462322 0.000348352
          13    -0.46206   -0.462302 0.000322137
          14   -0.463256    -0.46237 0.000306256
          15   -0.461444   -0.462308 0.000291991
          16   -0.462572   -0.462325 0.000274207
          17   -0.462736   -0.462349 0.000259144
          18   -0.464044   -0.462443 0.000261302
          19   -0.461796   -0.462409 0.000249757
          20   -0.461924   -0.462385 0.000238443
