#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1 0.000181342 0.000181342           0
           2  0.00146827 0.000824916 0.000291652
           3 0.000728867 0.000792901   0.0002158
           4 0.000181342  0.00064003 0.000138571
           5-2.43139e-10 0.000512042 9.15968e-05
           6 0.000184951 0.000457531 6.96111e-05
           7 0.000366274 0.000444494 5.87888e-05
           8   0.0073643  0.00131082  0.00015327
           9 0.000181342  0.00118535 0.000124174
          10-2.43139e-10  0.00106685  0.00010121
          11   0.0015048  0.00110667 9.59244e-05
          12 0.000181342  0.00102958 8.21453e-05
          13  0.00259516  0.00115005  8.4995e-05
          14  0.00426046   0.0013724 9.44627e-05
          15  0.00113886  0.00135683 8.73883e-05
          16 0.000366274  0.00129494 7.83636e-05
          17 0.000181342  0.00122945 7.01612e-05
          18-2.43139e-10  0.00116117 6.26918e-05
          19-2.43139e-10  0.00110007 5.63543e-05
          20-2.43139e-10  0.00104508 5.09311e-05
