#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     59.8509     59.8509           0
           2     57.3819     58.6164      20.724
           3     61.1134     59.4487     16.1799
           4     55.0395     58.3464     12.6324
           5     55.6146     57.8001     10.3396
           6     55.5358     57.4227     8.73658
           7     62.3852     58.1316     7.68849
           8      53.151      57.509     6.72435
           9     54.2175     57.1433     5.98614
          10     56.1209     57.0411     5.41139
          11     49.4019     56.3466     4.88403
          12     64.9967     57.0674     4.55316
          13     58.4133      57.171     4.22524
          14     58.2938     57.2512     3.94062
          15     56.7916     57.2205     3.68535
          16     62.8731     57.5738      3.4841
          17     57.5659     57.5734     3.28555
          18     57.3264     57.5596     3.10766
          19     54.5826     57.4029     2.94063
          20     62.8134     57.6735     2.81066
