#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1   -0.770618   -0.770618           0
           2   -0.765817   -0.768218  0.00169737
           3   -0.768302   -0.768246  0.00113181
           4   -0.766452   -0.767797 0.000933549
           5   -0.768307   -0.767899 0.000752377
           6   -0.766869   -0.767728 0.000646279
           7   -0.767719   -0.767726 0.000553954
           8   -0.767544   -0.767703 0.000485178
           9   -0.764355   -0.767331  0.00055588
          10   -0.765788   -0.767177 0.000521291
          11   -0.767969   -0.767249  0.00047885
          12   -0.769241   -0.767415 0.000466842
          13   -0.767387   -0.767413 0.000430936
          14   -0.771829   -0.767728 0.000502523
          15   -0.767146    -0.76769 0.000470519
          16   -0.767111   -0.767653   0.0004425
          17   -0.764224   -0.767452 0.000460169
          18   -0.767202   -0.767438 0.000434813
          19   -0.768609   -0.767499 0.000416277
          20   -0.765633   -0.767406 0.000405788
