#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1    0.108144    0.108144           0
           2    0.104578    0.106361  0.00126077
           3    0.098616    0.103779  0.00226932
           4    0.073482    0.096205  0.00677677
           5    0.078602   0.0926844  0.00626957
           6    0.080212   0.0906057  0.00555858
           7    0.084614   0.0897497  0.00482995
           8    0.113736    0.092748  0.00507216
           9    0.087284   0.0921409  0.00454478
          10    0.088038   0.0917306  0.00410878
          11    0.084908   0.0911104  0.00378178
          12    0.098172   0.0916988  0.00351211
          13    0.093436   0.0918325  0.00324449
          14    0.105116   0.0927813  0.00314843
          15    0.075922   0.0916573  0.00313273
          16    0.092888   0.0917342  0.00293788
          17    0.089188   0.0915845  0.00276888
          18     0.07501   0.0906637  0.00276392
          19    0.088462   0.0905478  0.00262088
          20    0.084942   0.0902675  0.00250478
