#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1  0.00110585  0.00110585           0
           2   0.0198572   0.0105003  0.00371242
           3  0.00364065  0.00821583  0.00223606
           4-2.43139e-10  0.00616471   0.0013347
           5-2.43139e-10  0.00493313 0.000882465
           6-2.43139e-10   0.0041117 0.000625575
           7-2.43139e-10  0.00352478 0.000466187
           8  0.00055844  0.00315419  0.00036881
           9  0.00164589  0.00298664 0.000312871
          10-2.43139e-10  0.00268816 0.000255021
          11-2.43139e-10  0.00244392 0.000211835
          12-2.43139e-10  0.00224036 0.000178749
          13-2.43139e-10  0.00206811 0.000152844
          14-2.43139e-10  0.00192045 0.000132185
          15  0.00664649  0.00223589 0.000144005
          16 0.000739727  0.00214241 0.000129649
          17   0.0125315  0.00275504 0.000157222
          18-2.43139e-10  0.00260207 0.000140487
          19 0.000181342  0.00247473 0.000126775
          20-2.43139e-10  0.00235107 0.000114577
