#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     33.3575     33.3575           0
           2     32.2714     32.8145     11.6017
           3     31.7578     32.4622      8.8351
           4     32.4422     32.4572     7.02719
           5     33.9979     32.7653     5.86124
           6     32.2064     32.6722     4.97092
           7     31.4258     32.4941     4.29768
           8     32.2027     32.4577     3.79518
           9     34.5431     32.6894     3.42443
          10     32.4518     32.6657     3.09894
          11     31.5636     32.5655     2.82272
          12     30.5034     32.3936     2.58455
          13     30.7698     32.2687     2.38483
          14     29.8734     32.0976     2.20929
          15      31.358     32.0483     2.06411
          16     29.2362     31.8726     1.92878
          17     29.6991     31.7447     1.81158
          18      32.776      31.802       1.717
          19     34.1232     31.9242     1.63541
          20     30.8472     31.8703     1.55317
