#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1    0.137726    0.137726           0
           2    0.142606    0.140166  0.00172534
           3    0.125938    0.135423  0.00403959
           4    0.151654    0.139481  0.00463978
           5    0.141032    0.139791  0.00372218
           6    0.148492    0.141241  0.00337248
           7    0.164932    0.144626  0.00426309
           8    0.123416    0.141975  0.00447936
           9    0.143672    0.142163  0.00398563
          10    0.128962    0.140843   0.0037994
          11     0.17058    0.143546  0.00430975
          12    0.144212    0.143602  0.00395096
          13    0.127804    0.142387  0.00382937
          14    0.148224    0.142804  0.00357847
          15    0.147314    0.143104  0.00335251
          16    0.165862    0.144527  0.00343147
          17    0.120558    0.143117  0.00350733
          18    0.163616    0.144256  0.00349249
          19     0.15787    0.144972  0.00338138
          20    0.141636    0.144805  0.00321642
