#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.377814    0.377814           0
           2    0.383351    0.380642    0.134577
           3    0.378466    0.379959    0.103412
           4    0.384244    0.381068   0.0825036
           5    0.371532    0.379161   0.0678263
           6    0.373162    0.378171   0.0575368
           7    0.381061     0.37863   0.0500776
           8    0.380325    0.378853   0.0442981
           9    0.384454     0.37948    0.039753
          10    0.365381    0.378077   0.0358675
          11    0.386537    0.378865   0.0328394
          12    0.381976    0.379125   0.0302487
          13    0.384743    0.379564   0.0280518
          14    0.366215     0.37861   0.0260599
          15    0.378564    0.378614    0.024385
          16    0.376321    0.378471   0.0229033
          17    0.376275    0.378343    0.021591
          18    0.373212    0.378059   0.0204115
          19    0.372154    0.377749   0.0193512
          20    0.380894    0.377906   0.0184169
