#   N_BLOCK:  ACCEPTANCE:
           1    0.490935
           2    0.491304
           3    0.490923
           4    0.490483
           5    0.490713
           6    0.490699
           7    0.490489
           8     0.49047
           9    0.490696
          10    0.490762
          11     0.49081
          12    0.490786
          13    0.490865
          14    0.490927
          15    0.490908
          16    0.490787
          17    0.490878
          18    0.490843
          19    0.490721
          20    0.490682
