#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1   -0.505167   -0.505167           0
           2   -0.503862   -0.504514   0.0004615
           3   -0.505593   -0.504874 0.000425191
           4   -0.508146   -0.505692 0.000776952
           5   -0.505308   -0.505615 0.000625342
           6   -0.505351   -0.505571 0.000522663
           7   -0.508345   -0.505968 0.000579051
           8   -0.506955   -0.506091 0.000519657
           9    -0.50585   -0.506064 0.000462605
          10   -0.504839   -0.505942 0.000432277
          11   -0.504602    -0.50582 0.000409766
          12   -0.505359   -0.505782 0.000377415
          13   -0.504658   -0.505695 0.000358147
          14   -0.506754   -0.505771 0.000340456
          15   -0.505554   -0.505756 0.000318067
          16   -0.507602   -0.505872 0.000318417
          17    -0.50543   -0.505846 0.000300743
          18   -0.505874   -0.505847  0.00028404
          19   -0.507771   -0.505948 0.000286562
          20   -0.506232   -0.505963 0.000272584
