#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1    -5.00334    -5.00334           0
           2    -4.85345     -4.9284   0.0529954
           3    -4.75553    -4.87077   0.0588373
           4    -4.60273    -4.80376   0.0729046
           5    -4.54464    -4.75194   0.0745003
           6    -4.51151    -4.71187   0.0720591
           7    -4.45775    -4.67557   0.0703171
           8    -4.45333    -4.64779   0.0667898
           9    -4.38218    -4.61827   0.0655651
          10    -4.34475    -4.59092   0.0644622
          11    -4.31118    -4.56549   0.0634204
          12    -4.30668    -4.54392   0.0616937
          13    -4.40635    -4.53334   0.0578485
          14    -4.31219    -4.51754   0.0558316
          15    -4.22698    -4.49817   0.0553681
          16    -4.20458    -4.47982   0.0548641
          17    -4.17354    -4.46181   0.0545149
          18    -4.23445    -4.44917   0.0529293
          19    -4.19728    -4.43592   0.0517774
          20    -4.18168    -4.42321   0.0507249
          21    -4.23839     -4.4144   0.0490669
          22    -4.15176    -4.40247   0.0482671
          23    -4.17439    -4.39255   0.0471762
          24    -4.26075    -4.38706    0.045529
          25    -4.30579    -4.38381   0.0438238
          26    -4.22549    -4.37772   0.0425592
          27    -4.17628    -4.37026   0.0416317
          28    -4.19171    -4.36388   0.0406303
          29    -4.13735    -4.35607   0.0399731
          30    -4.11641    -4.34808   0.0394308
          31    -4.08151    -4.33948   0.0390852
          32    -4.06491     -4.3309   0.0387942
          33    -4.09262    -4.32368   0.0382847
          34    -4.16706    -4.31907   0.0374348
          35     -4.1443    -4.31408   0.0366968
          36    -4.14509    -4.30939   0.0359764
          37    -4.15361    -4.30518   0.0352495
          38    -4.09683    -4.29969   0.0347457
          39    -4.10912    -4.29481   0.0341967
          40    -4.09489    -4.28981    0.033705
          41    -4.09022    -4.28494   0.0332326
          42    -4.06243    -4.27964   0.0328609
          43    -4.01663    -4.27353    0.032661
          44    -4.04574    -4.26835   0.0323264
          45    -4.01845     -4.2628   0.0320815
          46    -4.04701    -4.25811   0.0317252
          47     -4.0654    -4.25401    0.031314
          48    -4.06793    -4.25013   0.0309007
          49    -4.05228    -4.24609   0.0305327
          50    -4.08836    -4.24294   0.0300846
          51    -4.08994    -4.23994   0.0296439
          52    -4.10889    -4.23742   0.0291807
          53    -4.14649     -4.2357   0.0286805
          54    -4.17095     -4.2345   0.0281744
          55    -4.17619    -4.23344   0.0276821
          56    -4.13177    -4.23163   0.0272473
          57    -4.06668    -4.22873   0.0269225
          58    -3.98237    -4.22449   0.0267913
          59    -4.05986    -4.22169   0.0264821
          60    -4.03778    -4.21863   0.0262175
          61    -4.02024    -4.21538   0.0259887
          62    -4.00285    -4.21195   0.0257946
          63     -4.0274    -4.20902   0.0255509
          64    -4.11318    -4.20752   0.0251955
          65     -4.1009    -4.20588   0.0248612
          66    -4.15874    -4.20517   0.0244948
          67    -4.10148    -4.20362   0.0241781
          68    -4.12916    -4.20253   0.0238473
          69    -4.12304    -4.20137   0.0235295
          70    -4.12356    -4.20026   0.0232196
          71    -4.09964    -4.19884   0.0229358
          72    -4.03875    -4.19662   0.0227247
          73     -3.9152    -4.19277   0.0227381
          74    -4.06365    -4.19102   0.0224977
          75     -4.0216    -4.18876   0.0223108
          76    -3.98027    -4.18602   0.0221853
          77    -3.92875    -4.18268   0.0221473
          78    -3.98939     -4.1802   0.0220016
          79    -3.92582    -4.17698   0.0219574
          80    -3.85512    -4.17296   0.0220485
          81     -3.8431    -4.16888   0.0221491
          82    -3.96749    -4.16643   0.0220148
          83    -3.88137    -4.16299   0.0220158
          84    -3.89208    -4.15977   0.0219887
          85    -3.93586    -4.15713   0.0218872
          86    -3.90802    -4.15424   0.0218235
          87    -3.97597    -4.15219   0.0216687
          88    -3.91806    -4.14953   0.0215852
          89      -3.924    -4.14699   0.0214909
          90    -3.82268    -4.14339   0.0215521
          91    -3.82028    -4.13984   0.0216057
          92    -3.84678    -4.13665   0.0216044
          93    -3.90821     -4.1342   0.0215113
          94    -3.90383    -4.13175   0.0214216
          95    -3.91708    -4.12949    0.021315
          96    -3.95232    -4.12764   0.0211727
          97    -3.76807    -4.12394   0.0212764
