#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1    -5.45266    -5.45266           0
           2    -5.46273     -5.4577  0.00356115
           3    -5.47703    -5.46414  0.00577236
           4    -5.47188    -5.46608  0.00464255
           5    -5.47424    -5.46771  0.00399059
           6     -5.4584    -5.46616  0.00361438
           7    -5.47878    -5.46796  0.00351939
           8    -5.44056    -5.46454  0.00444397
           9    -5.47648    -5.46586  0.00414361
          10    -5.46257    -5.46553  0.00374227
          11    -5.46666    -5.46564  0.00340347
          12    -5.46538    -5.46561  0.00311992
          13    -5.48247    -5.46691  0.00313793
          14    -5.47736    -5.46766  0.00300131
          15    -5.46049    -5.46718  0.00283905
          16     -5.4641    -5.46699  0.00266812
          17    -5.47449    -5.46743   0.0025474
          18    -5.45311    -5.46663   0.0025271
          19    -5.46735    -5.46667  0.00239438
          20    -5.46715    -5.46669  0.00227478
          21    -5.47566    -5.46712  0.00220616
          22    -5.45989    -5.46679  0.00213023
          23    -5.46758    -5.46683  0.00203789
          24    -5.46475    -5.46674  0.00195482
          25    -5.46351    -5.46661  0.00188088
          26      -5.462    -5.46643  0.00181687
          27    -5.46712    -5.46646  0.00174976
          28    -5.47147    -5.46664  0.00169639
          29    -5.46796    -5.46668  0.00163851
          30    -5.45276    -5.46622  0.00164835
