#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
           1     1.45456     1.45456           0
           2     1.39352     1.42404   0.0215782
           3     1.32901     1.39236   0.0295953
           4     1.36207     1.38479   0.0231453
           5      1.3802     1.38387   0.0185344
           6     1.41336     1.38879   0.0160836
           7     1.33287      1.3808   0.0156444
           8     1.52693     1.39906   0.0218943
           9     1.34898      1.3935   0.0201563
          10     1.39974     1.39412   0.0181504
          11      1.3804     1.39288   0.0165432
          12     1.39766     1.39327   0.0151694
          13     1.30767     1.38669   0.0153655
          14     1.32548     1.38232    0.014877
          15     1.42891     1.38542   0.0142058
          16     1.39436     1.38598   0.0133289
          17     1.35986     1.38445   0.0126331
          18     1.44978     1.38808   0.0124418
          19     1.35897     1.38654   0.0118809
          20     1.38592     1.38651   0.0112869
          21     1.35325     1.38493     0.01086
          22     1.39734     1.38549    0.010381
          23      1.3829     1.38538  0.00993029
          24     1.39554      1.3858  0.00952554
          25     1.40632     1.38662  0.00917979
          26     1.38568     1.38659  0.00882679
          27     1.38453     1.38651   0.0085002
          28     1.35137     1.38526  0.00828877
          29     1.37973     1.38507  0.00800514
          30     1.46805     1.38783  0.00820236
