#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
           1         1.1         1.1           0
           2         1.1         1.1           0
           3         1.1         1.1           0
           4         1.1         1.1           0
           5         1.1         1.1           0
           6         1.1         1.1           0
           7         1.1         1.1 5.63211e-09
           8         1.1         1.1 5.26836e-09
           9         1.1         1.1 4.96705e-09
          10         1.1         1.1 9.42432e-09
          11         1.1         1.1 8.98574e-09
          12         1.1         1.1 8.60319e-09
          13         1.1         1.1 8.26568e-09
          14         1.1         1.1 7.96501e-09
          15         1.1         1.1   6.664e-09
          16         1.1         1.1 6.45239e-09
          17         1.1         1.1 6.25974e-09
          18         1.1         1.1           0
          19         1.1         1.1           0
          20         1.1         1.1           0
          21         1.1         1.1           0
          22         1.1         1.1 5.50262e-09
          23         1.1         1.1 6.21421e-09
          24         1.1         1.1 6.08337e-09
          25         1.1         1.1 5.96046e-09
          26         1.1         1.1 5.84472e-09
          27         1.1         1.1 4.96705e-09
          28         1.1         1.1  6.8979e-09
          29         1.1         1.1 6.77792e-09
          30         1.1         1.1   6.664e-09
