#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
           1   0.0152778   0.0152778           0
           2   0.0152778   0.0152778           0
           3   0.0152778   0.0152778           0
           4   0.0152778   0.0152778           0
           5   0.0152778   0.0152778           0
           6   0.0152778   0.0152778           0
           7   0.0152778   0.0152778 6.22266e-11
           8   0.0152778   0.0152778 5.82077e-11
           9   0.0152778   0.0152778 5.48787e-11
          10   0.0152778   0.0152778 5.20625e-11
          11   0.0152778   0.0152778 7.02011e-11
          12   0.0152778   0.0152778 6.72124e-11
          13   0.0152778   0.0152778 6.45756e-11
          14   0.0152778   0.0152778 6.22266e-11
          15   0.0152778   0.0152778 6.01166e-11
          16   0.0152778   0.0152778 5.82077e-11
          17   0.0152778   0.0152778 3.99301e-11
          18   0.0152778   0.0152778 3.88051e-11
          19   0.0152778   0.0152778 3.77701e-11
          20   0.0152778   0.0152778 3.68138e-11
          21   0.0152778   0.0152778 3.59265e-11
          22   0.0152778   0.0152778 4.96397e-11
          23   0.0152778   0.0152778 4.85485e-11
          24   0.0152778   0.0152778 4.75264e-11
          25   0.0152778   0.0152778 4.65661e-11
          26   0.0152778   0.0152778 4.56618e-11
          27   0.0152778   0.0152778 4.48083e-11
          28   0.0152778   0.0152778 4.40009e-11
          29   0.0152778   0.0152778 4.32356e-11
          30   0.0152778   0.0152778 4.25089e-11
          31   0.0152778   0.0152778 4.18176e-11
          32   0.0152778   0.0152778  4.1159e-11
          33   0.0152778   0.0152778           0
          34   0.0152778   0.0152778 4.89042e-11
          35   0.0152778   0.0152778 6.81658e-11
          36   0.0152778   0.0152778 8.23181e-11
          37   0.0152778   0.0152778  8.1198e-11
          38   0.0152778   0.0152778 9.25175e-11
          39   0.0152778   0.0152778 1.02103e-10
          40   0.0152778   0.0152778 1.00819e-10
          41   0.0152778   0.0152778 1.09086e-10
          42   0.0152778   0.0152778 1.16415e-10
          43   0.0152778   0.0152778 1.15054e-10
          44   0.0152778   0.0152778 1.21592e-10
          45   0.0152778   0.0152778 1.20233e-10
          46   0.0152778   0.0152778 1.26133e-10
          47   0.0152778   0.0152778 1.24784e-10
          48   0.0152778   0.0152778 1.30156e-10
          49   0.0152778   0.0152778 1.28821e-10
          50   0.0152778   0.0152778 1.33751e-10
          51   0.0152778   0.0152778 1.32433e-10
          52   0.0152778   0.0152778 1.31154e-10
          53   0.0152778   0.0152778 1.35687e-10
          54   0.0152778   0.0152778 1.34425e-10
          55   0.0152778   0.0152778 1.33197e-10
          56   0.0152778   0.0152778 1.37393e-10
          57   0.0152778   0.0152778 1.36182e-10
          58   0.0152778   0.0152778 1.35003e-10
          59   0.0152778   0.0152778 1.38907e-10
          60   0.0152778   0.0152778 1.37744e-10
          61   0.0152778   0.0152778 1.36611e-10
          62   0.0152778   0.0152778 1.35505e-10
          63   0.0152778   0.0152778 1.37588e-10
          64   0.0152778   0.0152778 1.36509e-10
          65   0.0152778   0.0152778 1.35455e-10
