#   N_BLOCK:  ACCEPTANCE:
           1    0.510167
           2    0.510299
           3    0.510975
           4    0.511066
           5    0.510841
           6    0.510689
           7    0.510771
           8    0.510228
           9    0.510326
          10    0.510226
          11    0.510149
          12    0.510094
          13    0.510198
          14    0.510224
          15    0.510198
          16    0.510134
          17    0.510138
          18    0.510167
          19    0.510156
          20    0.510172
          21    0.510202
          22    0.510227
          23    0.510223
          24    0.510251
          25    0.510258
          26    0.510264
          27     0.51028
          28    0.510255
          29     0.51022
          30    0.510163
