#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
           1   0.0152778   0.0152778           0
           2   0.0152778   0.0152778           0
           3   0.0152778   0.0152778           0
           4   0.0152778   0.0152778           0
           5   0.0152778   0.0152778 7.36275e-11
           6   0.0152778   0.0152778           0
           7   0.0152778   0.0152778 8.80017e-11
           8   0.0152778   0.0152778 8.23181e-11
           9   0.0152778   0.0152778           0
          10   0.0152778   0.0152778 5.20625e-11
          11   0.0152778   0.0152778 4.96397e-11
          12   0.0152778   0.0152778           0
          13   0.0152778   0.0152778           0
          14   0.0152778   0.0152778 6.22266e-11
          15   0.0152778   0.0152778 4.25089e-11
          16   0.0152778   0.0152778  4.1159e-11
          17   0.0152778   0.0152778 3.99301e-11
          18   0.0152778   0.0152778 3.88051e-11
          19   0.0152778   0.0152778           0
          20   0.0152778   0.0152778           0
          21   0.0152778   0.0152778           0
          22   0.0152778   0.0152778           0
          23   0.0152778   0.0152778           0
          24   0.0152778   0.0152778           0
          25   0.0152778   0.0152778           0
          26   0.0152778   0.0152778 3.22878e-11
          27   0.0152778   0.0152778 3.16842e-11
          28   0.0152778   0.0152778 3.11133e-11
          29   0.0152778   0.0152778 3.05722e-11
          30   0.0152778   0.0152778 3.00583e-11
