#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
           1     1.66511     1.66511           0
           2     1.67795     1.67153  0.00454038
           3     1.67875     1.67394  0.00360949
           4     1.65611     1.66948  0.00471348
           5     1.64531     1.66465  0.00573708
           6     1.65988     1.66385  0.00483557
           7     1.66757     1.66438  0.00417376
           8     1.66673     1.66468  0.00366235
           9     1.65331     1.66341  0.00346638
          10     1.66104     1.66318  0.00312787
          11      1.6492      1.6619  0.00309092
          12     1.66242     1.66195  0.00283364
          13     1.66137      1.6619  0.00261602
          14      1.6588     1.66168  0.00243851
          15     1.67944     1.66287  0.00254712
          16     1.65856      1.6626  0.00240208
          17     1.66933     1.66299  0.00229323
          18     1.64835     1.66218  0.00230552
          19      1.6719     1.66269  0.00224022
          20     1.66724     1.66292   0.0021397
          21     1.67716      1.6636  0.00214256
          22     1.68046     1.66436  0.00217796
          23     1.65801     1.66409   0.0021007
          24     1.67018     1.66434  0.00202847
          25     1.66841      1.6645  0.00195386
          26     1.65704     1.66422  0.00189971
          27     1.66084     1.66409  0.00183346
          28     1.68708     1.66491  0.00194319
          29     1.66042     1.66476  0.00188235
          30     1.66693     1.66483  0.00182099
