#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1    -5.44169    -5.44169           0
           2     -5.4545     -5.4481  0.00452922
           3    -5.45582    -5.45067  0.00367944
           4    -5.43206    -5.44602  0.00488352
           5    -5.42123    -5.44106  0.00590966
           6     -5.4363    -5.44027  0.00497767
           7    -5.44538      -5.441  0.00431985
           8    -5.44404    -5.44138  0.00379651
           9    -5.43061    -5.44018  0.00355817
          10    -5.43749    -5.43991  0.00321255
          11    -5.42519    -5.43857  0.00318728
          12    -5.43915    -5.43862  0.00292204
          13    -5.43856    -5.43862  0.00269727
          14    -5.43544    -5.43839  0.00251413
          15    -5.45637    -5.43959  0.00261669
          16    -5.43515    -5.43931  0.00246782
          17    -5.44627    -5.43972  0.00235637
          18    -5.42484    -5.43889  0.00236599
          19    -5.44938    -5.43945  0.00230491
          20    -5.44503    -5.43973   0.0022065
          21    -5.45421    -5.44042  0.00220655
          22    -5.45795    -5.44121  0.00224565
          23    -5.43529    -5.44096  0.00216271
          24    -5.44726    -5.44122  0.00208849
          25    -5.44586     -5.4414  0.00201319
          26     -5.4339    -5.44111  0.00195632
          27     -5.4376    -5.44098   0.0018882
          28    -5.46513    -5.44185  0.00200807
          29     -5.4362    -5.44165  0.00194824
          30    -5.44254    -5.44168  0.00188353
