#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
           1     1.49192     1.49192           0
           2     1.46282     1.47737   0.0102892
           3     1.42441     1.45972   0.0159617
           4     1.56006      1.4848   0.0248042
           5      1.6312     1.51408    0.032857
           6     1.52226     1.51544    0.027409
           7     1.50425     1.51384   0.0235401
           8     1.49435     1.51141   0.0207233
           9     1.56156     1.51698   0.0191554
          10     1.52451     1.51773   0.0172546
          11     1.60002     1.52521   0.0172314
          12      1.5267     1.52534   0.0157959
          13     1.52096       1.525   0.0145844
          14     1.58053     1.52897   0.0140717
          15     1.50345     1.52727    0.013236
          16     1.55493     1.52899   0.0125212
          17     1.49149     1.52679   0.0119774
          18     1.61844     1.53188   0.0123469
          19     1.50035     1.53022   0.0118081
          20     1.45645     1.52653   0.0117797
          21     1.48312     1.52446   0.0113987
          22      1.4031     1.51895   0.0121423
          23     1.55141     1.52036   0.0116961
          24     1.50161     1.51958   0.0112349
          25     1.46335     1.51733   0.0110083
          26     1.51375     1.51719   0.0105857
          27     1.51145     1.51698   0.0101958
          28     1.37057     1.51175   0.0110918
          29     1.61059     1.51516   0.0112207
          30     1.54406     1.51612    0.010888
