#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
           1     1.11007     1.11007           0
           2     1.11863     1.11435  0.00302692
           3     1.11917     1.11596  0.00240633
           4     1.10408     1.11299  0.00314232
           5     1.09687     1.10976  0.00382472
           6     1.10659     1.10923  0.00322371
           7     1.11171     1.10959  0.00278251
           8     1.11115     1.10978  0.00244156
           9     1.10221     1.10894  0.00231092
          10     1.10736     1.10878  0.00208525
          11     1.09946     1.10794  0.00206061
          12     1.10828     1.10797  0.00188909
          13     1.10758     1.10794  0.00174401
          14     1.10587     1.10779  0.00162567
          15     1.11963     1.10858  0.00169808
          16     1.10571      1.1084  0.00160139
          17     1.11289     1.10866  0.00152882
          18      1.0989     1.10812  0.00153701
          19      1.1146     1.10846  0.00149348
          20     1.11149     1.10861  0.00142647
          21     1.11811     1.10906  0.00142837
          22     1.12031     1.10958  0.00145198
          23     1.10534     1.10939  0.00140046
          24     1.11346     1.10956  0.00135232
          25     1.11228     1.10967  0.00130258
          26     1.10469     1.10948  0.00126648
          27     1.10723     1.10939   0.0012223
          28     1.12472     1.10994  0.00129546
          29     1.10695     1.10984   0.0012549
          30     1.11128     1.10989  0.00121399
