#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1    -3.77658    -3.77658           0
           2    -3.77655    -3.77657 1.11532e-05
           3    -3.77707    -3.77674 0.000136545
           4    -3.77595    -3.77654 0.000198925
           5    -3.77592    -3.77642 0.000193603
           6    -3.77642    -3.77642 0.000161338
           7    -3.77782    -3.77662 0.000231196
           8    -3.77731     -3.7767 0.000217753
           9     -3.7773    -3.77677 0.000203525
          10    -3.77645    -3.77674 0.000185658
          11    -3.77599    -3.77667 0.000180796
          12    -3.77673    -3.77668 0.000165811
          13    -3.77719    -3.77671 0.000157703
          14    -3.77664    -3.77671 0.000146532
          15    -3.77693    -3.77672 0.000137512
          16    -3.77659    -3.77672 0.000129184
          17    -3.77694    -3.77673 0.000122259
          18    -3.77649    -3.77672  0.00011619
          19    -3.77748    -3.77676 0.000116826
          20    -3.77779    -3.77681 0.000121931
          21    -3.77705    -3.77682 0.000116669
          22    -3.77749    -3.77685 0.000115332
          23    -3.77728    -3.77687 0.000111824
          24    -3.77708    -3.77688 0.000107497
          25    -3.77744     -3.7769 0.000105571
          26    -3.77687     -3.7769 0.000101518
          27    -3.77675    -3.77689 9.79015e-05
          28    -3.77805    -3.77693 0.000102717
          29    -3.77578    -3.77689 0.000106611
          30    -3.77562    -3.77685  0.00011126
