# BLOCK	ACCEPTANCE
1	0.5619
2	0.5409
3	0.5623
4	0.5575
5	0.5546
6	0.5514
7	0.5614
8	0.5542
9	0.5562
10	0.5508
11	0.5554
12	0.5459
13	0.5518
14	0.559
15	0.5518
16	0.5507
17	0.5548
18	0.5459
19	0.5569
20	0.5521
21	0.5614
22	0.5607
23	0.5558
24	0.5631
25	0.5561
26	0.5499
27	0.558
28	0.5567
29	0.5552
30	0.5522
31	0.5453
32	0.5609
33	0.5547
34	0.5563
35	0.5628
36	0.5577
37	0.5578
38	0.5567
39	0.5531
40	0.5523
41	0.5526
42	0.5566
43	0.5563
44	0.5568
45	0.5517
46	0.5618
47	0.5482
48	0.5556
49	0.5608
50	0.5611
51	0.5435
52	0.5542
53	0.5672
54	0.5542
55	0.5584
56	0.5538
57	0.5591
58	0.5475
59	0.5484
60	0.5613
61	0.5585
62	0.5524
63	0.5601
64	0.5525
65	0.552
66	0.5521
67	0.5591
68	0.5583
69	0.5509
70	0.5519
71	0.55
72	0.5426
73	0.5531
74	0.5558
75	0.553
76	0.5519
77	0.5562
78	0.5536
79	0.5625
80	0.5458
81	0.5551
82	0.5462
83	0.5571
84	0.5612
85	0.5656
86	0.5531
87	0.5555
88	0.5499
89	0.5514
90	0.5501
91	0.5624
92	0.5579
93	0.5489
94	0.5594
95	0.5628
96	0.558
97	0.5573
98	0.5555
99	0.5529
100	0.5564
