T  	 	 mu 	 	 sigma 	 	 H 	 	 err
2	 	0.828838	 	1.11558	 	 0.535866	 	0.0309277
1.98	 	1.05841	 	0.742366	 	 0.0449419	 	0.0141949
1.9602	 	0.842344	 	0.821642	 	 -0.204806	 	0.0129186
1.9406	 	1.30024	 	0.487519	 	 0.60715	 	0.00996441
1.92119	 	0.276122	 	1.0014	 	 -0.251949	 	0.0074382
1.90198	 	0.713685	 	0.512764	 	 -0.309414	 	0.00512817
1.88296	 	0.804508	 	0.532532	 	 -0.377391	 	0.00490027
1.86413	 	0.965457	 	0.92844	 	 0.307457	 	0.0232058
1.84549	 	0.761745	 	1.38613	 	 1.73185	 	0.0667652
1.82703	 	0.941872	 	1.52887	 	 3.79852	 	0.111505
1.80876	 	1.18431	 	1.02699	 	 1.85327	 	0.0507962
1.79068	 	0.900524	 	0.973743	 	 0.312073	 	0.0232375
1.77277	 	0.424565	 	1.43576	 	 1.0378	 	0.0659633
1.75504	 	0.617753	 	0.340813	 	 0.845229	 	0.017938
1.73749	 	0.978141	 	0.687688	 	 -0.257416	 	0.00782618
1.72012	 	0.0298179	 	0.732864	 	 0.00815001	 	0.0065361
1.70292	 	1.30969	 	0.657429	 	 0.953221	 	0.0228232
1.68589	 	1.48979	 	0.735877	 	 2.96461	 	0.0527637
1.66903	 	0.748766	 	0.974322	 	 -0.000233992	 	0.0210859
1.65234	 	0.593959	 	1.22761	 	 0.368595	 	0.0308618
1.63581	 	0.62879	 	0.688061	 	 -0.347732	 	0.00335039
1.61946	 	0.664158	 	1.21613	 	 0.579367	 	0.0388661
1.60326	 	0.0673871	 	1.32751	 	 0.245837	 	0.0279583
1.58723	 	1.24329	 	0.527238	 	 0.379985	 	0.0101575
1.57136	 	0.840854	 	0.405325	 	 0.245576	 	0.0117029
1.55564	 	0.489783	 	0.763914	 	 -0.260276	 	0.00394682
1.54009	 	0.265523	 	0.922605	 	 -0.241984	 	0.00580322
1.52469	 	0.0485581	 	0.819476	 	 -0.139478	 	0.00552072
1.50944	 	0.311595	 	1.36371	 	 0.515304	 	0.0347525
1.49434	 	0.783159	 	0.555487	 	 -0.408693	 	0.00368526
1.4794	 	0.893039	 	0.721765	 	 -0.312556	 	0.00823845
1.46461	 	0.684071	 	1.13829	 	 0.28243	 	0.0319056
1.44996	 	0.969783	 	0.33582	 	 0.935507	 	0.0146516
1.43546	 	0.920507	 	0.780197	 	 -0.183357	 	0.0140123
1.42111	 	0.184955	 	0.993163	 	 -0.254833	 	0.00665389
1.4069	 	1.31325	 	0.609052	 	 0.859616	 	0.025377
1.39283	 	0.384057	 	1.2235	 	 0.174568	 	0.0332661
1.3789	 	0.905874	 	1.54135	 	 3.80237	 	0.124342
1.36511	 	0.696489	 	0.534386	 	 -0.352854	 	0.00414011
1.35146	 	0.949786	 	1.40106	 	 2.99703	 	0.105494
1.33794	 	0.228496	 	0.593458	 	 0.232322	 	0.00743989
1.32456	 	1.46362	 	0.658825	 	 2.22516	 	0.0370886
1.31132	 	0.259905	 	1.36661	 	 0.502937	 	0.0404887
1.29821	 	1.1342	 	0.684859	 	 0.192012	 	0.0178585
1.28522	 	0.33762	 	1.27816	 	 0.206194	 	0.0270649
1.27237	 	0.727091	 	1.06799	 	 0.1457	 	0.0237494
1.25965	 	0.318301	 	0.574979	 	 0.156233	 	0.00732984
1.24705	 	0.518071	 	0.423663	 	 0.0468991	 	0.00962112
1.23458	 	0.452871	 	0.847922	 	 -0.266515	 	0.00543241
1.22223	 	0.665051	 	0.678435	 	 -0.377702	 	0.00303619
1.21001	 	0.946702	 	1.09832	 	 0.903052	 	0.0369608
1.19791	 	1.11157	 	0.630984	 	 -8.83905e-05	 	0.0105828
1.18593	 	0.413824	 	0.890806	 	 -0.248002	 	0.00679348
1.17407	 	0.955192	 	1.14204	 	 1.09696	 	0.0475895
1.16233	 	1.16488	 	0.686276	 	 0.263126	 	0.0150843
1.15071	 	0.527619	 	1.33082	 	 0.751257	 	0.0464031
1.1392	 	0.802025	 	0.749346	 	 -0.36433	 	0.00717448
1.12781	 	0.893154	 	1.24704	 	 1.3716	 	0.0538189
1.11653	 	0.955762	 	0.863715	 	 0.101802	 	0.0206188
1.10537	 	0.373627	 	1.19452	 	 -0.00578843	 	0.0185078
1.09431	 	0.0879231	 	1.43709	 	 0.836881	 	0.0601091
1.08337	 	0.243905	 	0.486703	 	 0.511811	 	0.01056
1.07254	 	0.601823	 	1.15541	 	 0.220339	 	0.0259472
1.06181	 	0.933695	 	0.802761	 	 -0.111387	 	0.0141627
1.05119	 	0.789269	 	0.85853	 	 -0.213534	 	0.0116127
1.04068	 	0.537895	 	0.69735	 	 -0.267293	 	0.00421286
1.03027	 	0.243232	 	0.730763	 	 -0.0565403	 	0.00576919
1.01997	 	0.800522	 	0.559929	 	 -0.413103	 	0.00313312
1.00977	 	0.535039	 	1.01836	 	 -0.156253	 	0.0135351
0.999674	 	0.0991331	 	1.18211	 	 -0.0885384	 	0.0269035
0.989677	 	1.19437	 	0.348283	 	 0.926368	 	0.0145497
0.979781	 	0.181342	 	1.24568	 	 0.0946606	 	0.021275
0.969983	 	0.764326	 	1.25943	 	 1.06117	 	0.0668866
0.960283	 	0.111853	 	1.10846	 	 -0.209897	 	0.0108418
0.95068	 	0.136535	 	0.912552	 	 -0.233421	 	0.00595778
0.941173	 	1.11628	 	1.0231	 	 1.46817	 	0.043236
0.931762	 	0.825716	 	0.736812	 	 -0.354332	 	0.00722081
0.922444	 	0.755126	 	0.478187	 	 -0.218315	 	0.00729307
0.913219	 	0.0275562	 	1.06942	 	 -0.23438	 	0.00924464
0.904087	 	0.606246	 	0.776774	 	 -0.318443	 	0.00527645
0.895046	 	1.11969	 	0.490233	 	 0.0624546	 	0.00676056
0.886096	 	1.35278	 	0.502364	 	 0.853145	 	0.0135579
0.877235	 	0.827719	 	0.638146	 	 -0.437953	 	0.00407173
0.868463	 	0.15538	 	0.835211	 	 -0.171916	 	0.00557875
0.859778	 	0.732513	 	0.38096	 	 0.421403	 	0.0137111
0.85118	 	1.17726	 	0.726212	 	 0.481631	 	0.0213485
0.842668	 	1.03461	 	0.554933	 	 -0.197931	 	0.00432228
0.834242	 	1.00488	 	0.859116	 	 0.220513	 	0.0212795
0.825899	 	0.446768	 	0.598044	 	 -0.085957	 	0.00610201
0.81764	 	0.896773	 	0.452438	 	 -0.0355678	 	0.00849297
0.809464	 	0.559489	 	0.972343	 	 -0.184096	 	0.0150324
0.801369	 	0.704378	 	0.783928	 	 -0.332556	 	0.00684602
0.793356	 	0.776093	 	0.496108	 	 -0.28807	 	0.00625469
0.785422	 	0.483861	 	1.02608	 	 -0.16533	 	0.0128994
0.777568	 	0.341098	 	0.35576	 	 0.633647	 	0.00905971
0.769792	 	1.24536	 	0.369078	 	 0.820462	 	0.012743
0.762094	 	0.922643	 	0.559236	 	 -0.353064	 	0.00320873
0.754473	 	0.838113	 	0.808057	 	 -0.225967	 	0.0121751
0.746929	 	0.293389	 	0.897455	 	 -0.240477	 	0.00521453
0.739459	 	0.590435	 	1.12453	 	 0.0901059	 	0.0258821
0.732065	 	0.00596154	 	0.847927	 	 -0.171272	 	0.0046537
0.724744	 	0.896606	 	0.507891	 	 -0.264011	 	0.00578606
0.717497	 	0.134953	 	0.981371	 	 -0.253886	 	0.00665207
0.710322	 	0.774424	 	0.543507	 	 -0.382974	 	0.00419806
0.703218	 	0.389639	 	1.02606	 	 -0.224681	 	0.0111334
0.696186	 	0.862581	 	0.833305	 	 -0.169444	 	0.0118483
0.689224	 	0.840347	 	0.826217	 	 -0.200634	 	0.0109393
0.682332	 	0.513761	 	1.0607	 	 -0.122135	 	0.0163599
0.675509	 	0.627146	 	1.14061	 	 0.195662	 	0.0273113
0.668754	 	0.312613	 	1.36008	 	 0.530602	 	0.0408416
0.662066	 	0.360786	 	1.28144	 	 0.280833	 	0.0281546
0.655446	 	0.0696229	 	1.28106	 	 0.136577	 	0.026529
0.648891	 	1.30373	 	0.644667	 	 0.904628	 	0.0245745
0.642402	 	0.530547	 	0.545173	 	 -0.172985	 	0.00514502
0.635978	 	0.974509	 	0.326369	 	 1.03926	 	0.021026
0.629618	 	0.537083	 	0.6482	 	 -0.255233	 	0.00435004
0.623322	 	1.04064	 	0.741076	 	 0.00127644	 	0.0135462
0.617089	 	0.125076	 	0.716528	 	 0.0257625	 	0.00624662
0.610918	 	0.302676	 	1.17172	 	 -0.0308288	 	0.0212934
0.604809	 	1.20625	 	0.456234	 	 0.345844	 	0.00774947
0.598761	 	0.859165	 	0.599712	 	 -0.428715	 	0.00296209
0.592773	 	0.268579	 	0.824413	 	 -0.180174	 	0.00451524
